,brand,model,year,Energy,gear_box,Trim,price
18337,VOLKSWAGEN,Polo,2019,Diesel,Manuelle,1.6 TDI 95 S&S BVM5 Lounge Business,17990
18338,RENAULT,Captur,2020,Diesel,Automatique,Blue dCi 115 EDC Intens,23990
18339,VOLKSWAGEN,Golf,2021,Essence,Automatique,2.0 TSI 245 DSG7 GTI,42290
18340,AUDI,A1,2019,Essence,Manuelle,Sportback 25 TFSI 95 ch BVM5 S Line,24990
18341,RENAULT,Twingo,2021,Essence,Manuelle,III SCe 65 Zen,11989
18342,PEUGEOT,Expert,2020,Diesel,Manuelle,FGN TOLE STANDARD BLUEHDI 150 S&S BVM6 GRIP,30999
18343,SKODA,Octavia,2021,Diesel,Manuelle,Combi 2.0 TDI 116 ch Style,28990
18344,VOLKSWAGEN,Crafter,2022,Diesel,Manuelle,Fg 30 L3H3 2.0 TDI 140ch Business Plus Traction,39990
18345,VOLKSWAGEN,Transporter,2022,Diesel,Manuelle,Fg 2.8T L1H1 2.0 TDI 150ch Business 4 MOTION,43490
18346,VOLKSWAGEN,T-Roc,2019,Diesel,Robotisée,2.0 TDI 150ch Carat DSG7 Euro6d-T,25490
18347,VOLKSWAGEN,Tiguan,2021,Diesel,Robotisée,2.0 TDI 150ch R-Line DSG7,42590
18348,VOLKSWAGEN,Golf,2022,Diesel,Robotisée,2.0 TDI SCR 200ch GTD DSG7,46990
18349,VOLKSWAGEN,Caddy,2021,Diesel,Manuelle,Cargo 2.0 TDI 102ch 1st Edition,22990
18350,VOLKSWAGEN,T-Cross,2020,Essence,Automatique,1.0 TSI 115 Start/Stop DSG7 Carat,23990
18351,JEEP,Renegade,2021,Essence,Manuelle,1.0 GSE T3 120 ch BVM6 Limited,21990
18352,VOLKSWAGEN,Polo,2021,Essence,Manuelle,1.0 TSI 95 S&S BVM5 United,19990
18353,JEEP,Renegade,2021,Essence,Manuelle,1.0 GSE T3 120 ch BVM6 Limited,21990
18354,BMW,Serie 4,2021,Diesel,Automatique,Coupé 420d xDrive 190 ch BVA8 M Sport,60933
18355,VOLKSWAGEN,Golf,2022,Diesel,Automatique,2.0 TDI SCR 115 DSG7 Active,32794
18356,SKODA,Kamiq,2021,Essence,Manuelle,1.0 TSI 95 ch BVM5 Active,17990
18357,JEEP,Renegade,2018,Diesel,Robotisée,1.6 MultiJet 120ch Longitude Business BVR6 GPS Radar Ar,18499
18358,HYUNDAI,Tucson,2019,Diesel,Manuelle,1.6 CRDI 136ch Premium,23490
18359,VOLKSWAGEN,T-Roc,2019,Diesel,Automatique,2.0 TDI 150 Start/Stop DSG7 Carat Exclusive,29699
18360,KIA,Stonic,2021,Essence,Manuelle,1.0 T-GDi 120 ch MHEV iBVM6 GT Line,22389
18361,DS,Ds 3,2020,Electrique,Automatique,DS3 Crossback E-Tense Grand Chic,29989
18362,SEAT,Leon,2020,Essence,Automatique,2.0 TSI 290 DSG7,29980
18363,JEEP,Renegade,2022,Hybride,Automatique,1.3 Turbo T4 240ch 4xe S AT6,43490
18364,OPEL,Corsa,2021,Essence,Manuelle,1.2 75 ch BVM5 Edition,15490
18365,VOLKSWAGEN,T-Cross,2021,Essence,Robotisée,1.0 TSI 110ch Lounge DSG7,24990
18366,JEEP,Compass,2022,Hybride,Automatique,1.3 PHEV T4 190ch Night Eagle 4xe AT6 eAWD,43990
18367,BMW,Serie 3,2021,Diesel,Automatique,Série 3 Touring 318dA MH 150ch M Sport,44088
18368,MINI,Countryman,2019,Essence,Robotisée,Cooper S 192ch Longstone BVA7 130g,32990
18369,MERCEDES,Classe Glc,2021,Hybride,Automatique,GLC Coupe 300 de 194+122ch AMG Line 4Matic 9G-Tronic,65890
18370,CITROËN,C5,2022,Hybride,Automatique,X Hybrid 225ch Shine Pack ëEAT8,47990
18371,CITROËN,C3 Aircross,2019,Diesel,Manuelle,BlueHDi 100ch S&S Shine E6.d-TEMP,17690
18372,CITROËN,C3 Aircross,2022,Diesel,Automatique,BlueHDi 120ch S&S Shine EAT6,26990
18373,CITROËN,C3 Aircross,2022,Diesel,Automatique,BlueHDi 120ch S&S Shine EAT6,26990
18374,DS,Ds 3,2020,Diesel,Automatique,Crossback BlueHDi 130ch Performance Line + Automatique 7cv,28990
18375,PEUGEOT,308,2022,Essence,Manuelle,1.2 PureTech 110ch S&S Active Pack,25990
18376,PEUGEOT,208,2021,Diesel,Manuelle,1.5 BlueHDi 100ch S&S Style,19790
18377,PEUGEOT,108,2021,Essence,Manuelle,VTi 72 Style S&S 4cv 5p,12490
18378,PEUGEOT,3008,2021,Hybride,Automatique,HYBRID 225ch Roadtrip e-EAT8,41590
18379,OPEL,Combo,2022,Diesel,Manuelle,Cargo L2H1 Augmenté 1.5 100ch Cabine Approfondie,26990
