brand,model,year,energy,gear_box,trim,price
RENAULT,Clio,2021,Hybride,Automatique,1.6 E-Tech hybride 140ch Business -21N,20 990 €
PEUGEOT,3008,2018,Essence,Automatique,1.2 PureTech 130ch E6.c Active Business S&S EAT8,24 790 €
DS,Ds 7 Crossback,2021,HybrideR,Automatique,E-TENSE 4x4 300ch Grand Chic,51 999 €
PEUGEOT,208,2021,Diesel,Manuelle,1.5 BlueHDi 100ch S&S GT,23 480 €
RENAULT,Captur,2018,Diesel,Automatique,1.5 dCi 90ch energy Intens EDC Euro6c,16 990 €
PEUGEOT,208,2021,Diesel,Manuelle,1.5 BlueHDi 100ch S&S Active,15 890 €
RENAULT,Captur,2021,Essence,Manuelle,1.0 TCe 90ch Intens -21,20 980 €
PEUGEOT,208,2020,Electrique,Automatique,e-208 136ch Active Business,24 998 €
CITROEN,C5 Aircross,2021,HybrideR,Automatique,Hybrid 225ch Feel e-EAT8,32 980 €
VOLKSWAGEN,Polo,2020,Essence,Automatique,1.0 TSI 115ch Carat DSG7 Euro6d-T,22 490 €
PEUGEOT,2008,2021,Diesel,Automatique,1.5 BlueHDi 130ch S&S Allure Pack EAT8 125g,31 990 €
NISSAN,Qashqai,2019,Diesel,Manuelle,1.5 dCi 115ch Business Edition 2019,17 480 €
RENAULT,Clio,2017,Diesel,Manuelle,1.5 dCi 90ch energy Business 82g 5p,12 990 €
DACIA,Duster,2021,Diesel,Manuelle,1.5 Blue dCi 115ch Prestige + 4x2,21 990 €
CITROEN,C3,2020,Essence,Manuelle,PureTech 82ch Feel Business S&S E6.d,13 690 €
CITROEN,C3,2021,Essence,Manuelle,1.2 PureTech 110ch S&S C-Series 124g,16 699 €
RENAULT,Megane,2018,Diesel,Automatique,1.5 dCi 110ch energy Business EDC,16 990 €
DACIA,Duster,2021,Diesel,Manuelle,1.5 Blue dCi 115ch Prestige 4x2,19 990 €
PEUGEOT,208,2020,Essence,Manuelle,1.2 PureTech 100ch S&S Allure,17 990 €
DACIA,Duster,2019,Diesel,Manuelle,1.5 Blue dCi 115ch Prestige 4x2,17 990 €
RENAULT,Megane,2019,Diesel,Manuelle,1.5 Blue dCi 115ch Business,16 450 €
RENAULT,Captur,2021,Essence,Manuelle,1.0 TCe 90ch Zen -21,18 490 €
RENAULT,Clio,2020,Essence,Manuelle,1.0 TCe 100ch Zen - 20,15 990 €
RENAULT,Clio,2021,Essence,Manuelle,1.0 SCe 65ch Business -21,14 784 €
RENAULT,Megane,2018,Diesel,Automatique,1.5 dCi 110ch energy Intens EDC,18 990 €
PEUGEOT,308,2021,Diesel,Automatique,1.5 BlueHDi 130ch S&S Active Pack EAT8,28 990 €
RENAULT,Megane,2021,Diesel,Manuelle,1.5 Blue dCi 115ch Business,17 999 €
RENAULT,Kadjar,2020,Diesel,Manuelle,1.5 Blue dCi 115ch Limited - 21,22 990 €
RENAULT,Clio,2018,Diesel,Manuelle,1.5 dCi 90ch energy Intens 5p,12 490 €
CITROEN,C5 Aircross,2019,Diesel,Automatique,BlueHDi 130ch S&S Feel EAT8,25 490 €
RENAULT,Megane,2019,Diesel,Automatique,1.5 Blue dCi 115ch Intens EDC,17 999 €
PEUGEOT,3008,2019,Essence,Automatique,1.6 THP 165ch GT Line S&S EAT6,28 900 €
CITROEN,C3,2021,Diesel,Manuelle,1.5 BlueHDi 100ch S&S Feel E6.d,13 790 €
PEUGEOT,3008,2021,Essence,Automatique,1.2 PureTech 130ch S&S Allure Pack EAT8,36 519 €
PEUGEOT,3008,2022,Hybride,Automatique,HYBRID 225ch GT e-EAT8,44 890 €
RENAULT,Clio,2021,Essence,Manuelle,1.0 TCe 90ch Zen -21,15 990 €
CITROEN,C3,2019,Diesel,Manuelle,BlueHDi 100ch Shine S&S E6.d-TEMP BVM5,12 990 €
DS,Ds 7 Crossback,2020,Essence,Automatique,PureTech 225ch Grand Chic Automatique 13cv,39 990 €
PEUGEOT,2008,2014,Diesel,Manuelle,1.6 e-HDi115 FAP Allure,11 799 €
PEUGEOT,308,2017,Diesel,Automatique,1.6 BlueHDi 120ch S&S GT Line EAT6,18 980 €
RENAULT,Clio,2019,Diesel,Manuelle,1.5 Blue dCi 85ch Business,14 390 €
PEUGEOT,2008,2021,Diesel,Automatique,1.5 BlueHDi 130ch S&S Allure Pack EAT8,28 990 €
PEUGEOT,3008,2019,Essence,Automatique,1.6 PureTech 180ch E6.c Allure S&S EAT8,28 990 €
CITROEN,C3,2019,Essence,Manuelle,PureTech 82ch Shine S&S E6.d,13 490 €
CITROEN,C3,2019,Diesel,Manuelle,BlueHDi 100ch Feel Business S&S E6.d-TEMP BVM5,11 480 €
PEUGEOT,3008,2021,Hybride,Automatique,HYBRID4 300ch GT e-EAT8,48 993 €
NISSAN,Qashqai,2020,Essence,Manuelle,1.3 DIG-T 140ch Tekna 2021,24 490 €
RENAULT,Clio,2018,Diesel,Manuelle,1.5 dCi 90ch energy Intens 5p,14 290 €
CITROEN,C3,2021,Essence,Manuelle,1.2 PureTech 83ch S&S Shine,17 599 €
PEUGEOT,208,2022,Essence,Manuelle,1.2 PureTech 100ch S&S Allure 118g,22 690 €
DS,Ds 7 Crossback,2021,Diesel,Automatique,BlueHDi 130ch Rivoli Automatique,43 299 €
OPEL,Corsa,2020,Diesel,Manuelle,1.5 D 100ch Elegance,16 999 €
PEUGEOT,208,2019,Diesel,Manuelle,1.5 BlueHDi 100ch E6.c Active BVM5 86g 5p,13 490 €
PEUGEOT,208,2021,Essence,Manuelle,1.2 PureTech 100ch S&S Allure 118g,19 490 €
RENAULT,Captur,2021,Essence,Manuelle,1.0 TCe 90ch Intens - 21,20 690 €
PEUGEOT,3008,2021,Hybride,Automatique,HYBRID4 300ch GT e-EAT8,47 990 €
CITROEN,C3,2020,Essence,Manuelle,1.2 PureTech 83ch S&S Shine 130g,16 980 €
RENAULT,Clio,2019,Diesel,Manuelle,1.5 dCi 90ch energy Air MédiaNav E6C,10 190 €
RENAULT,Clio,2019,Diesel,Manuelle,1.5 dCi 90ch energy Business 5p Euro6c,15 890 €
CITROEN,C3,2019,Diesel,Manuelle,1.6 BlueHDi 100ch S&S Feel Nav E6.d-TEMP,9 980 €
PEUGEOT,2008,2019,Essence,Manuelle,1.2 PureTech 130ch E6.c Allure S&S,17 990 €
RENAULT,Kadjar,2020,Diesel,Manuelle,1.5 Blue dCi 115ch Business 131g,21 490 €
PEUGEOT,3008,2019,Essence,Manuelle,1.2 PureTech 130ch S&S Active,23 990 €
RENAULT,Captur,2019,Diesel,Manuelle,1.5 dCi 90ch energy Business Euro6c,15 990 €
RENAULT,Clio,2017,Diesel,Manuelle,1.5 dCi 90ch energy Business 82g 5p,12 190 €
PEUGEOT,208,2018,Essence,Manuelle,1.2 PureTech 82ch E6.c Signature 5p,14 399 €
PEUGEOT,3008,2019,Diesel,Automatique,1.5 BlueHDi 130ch E6.c Active Business S&S EAT8,26 990 €
PEUGEOT,3008,2019,Diesel,Manuelle,1.5 BlueHDi 130ch E6.c Allure Business S&S 7cv,24 990 €
RENAULT,Captur,2015,Diesel,Manuelle,1.5 dCi 110ch Stop&Start energy Intens eco²,11 690 €
RENAULT,Clio,2020,Diesel,Manuelle,1.5 Blue dCi 85ch Business,17 490 €
RENAULT,Clio,2020,Diesel,Manuelle,1.5 Blue dCi 85ch Business,16 490 €
PEUGEOT,3008,2018,Diesel,Automatique,1.5 BlueHDi 130ch E6.c Allure Business S&S EAT8,25 490 €
CITROEN,C3,2019,Diesel,Manuelle,BlueHDi 100ch Feel Business S&S E6.d-TEMP BVM5,14 599 €
RENAULT,Twingo,2020,Essence,Manuelle,0.9 TCe 95ch Zen - 20,12 490 €
PEUGEOT,208,2020,Diesel,Manuelle,1.5 BlueHDi 100ch S&S Allure,19 490 €
DS,Ds 7 Crossback,2021,Essence,Automatique,PureTech 180ch Rivoli Automatique,47 890 €
DS,Ds 7 Crossback,2021,Diesel,Automatique,BlueHDi 130ch Performance Line Automatique,38 436 €
RENAULT,Kadjar,2021,Diesel,Manuelle,1.5 Blue dCi 115ch Intens - 21,25 490 €
RENAULT,Captur,2021,Essence,Manuelle,1.0 TCe 90ch Intens -21,20 980 €
PEUGEOT,308,2020,Diesel,Automatique,1.5 BlueHDi 130ch S&S GT Line EAT8 7cv,25 993 €
PEUGEOT,308,2020,Diesel,Manuelle,1.5 BlueHDi 130ch S&S Active Business 7cv,16 499 €
RENAULT,Twingo,2021,Essence,Manuelle,1.0 SCe 65ch Zen,12 900 €
CITROEN,C3,2020,Essence,Manuelle,1.2 PureTech 110ch S&S Shine,17 490 €
RENAULT,Clio,2020,Essence,Manuelle,1.0 TCe 100ch Business - 20,15 999 €
DACIA,Duster,2021,Diesel,Manuelle,PICK-UP 4X4 DCI 115CV CONFORT,26 847 €
CITROEN,C3 Aircross,2018,Essence,Manuelle,PureTech 82ch Live,13 990 €
RENAULT,Twingo,2019,Essence,Manuelle,0.9 TCe 95ch Zen - 20,10 980 €
PEUGEOT,208,2021,Essence,Manuelle,1.2 PureTech 100ch S&S Active Business,18 490 €
DACIA,Duster,2019,Diesel,Manuelle,1.5 Blue dCi 115ch Prestige 4x2,16 490 €
CITROEN,C5 Aircross,2020,Essence,Manuelle,PureTech 130ch S&S Feel,26 900 €
VOLKSWAGEN,Polo,2019,Essence,Manuelle,1.0 TSI 95ch Confortline Business Euro6d-T,17 490 €
RENAULT,Clio,2020,Diesel,Manuelle,1.5 Blue dCi 85ch Business,16 790 €
PEUGEOT,3008,2018,Essence,Manuelle,1.2 PureTech 130ch E6.c Allure S&S,23 799 €
RENAULT,Clio,2020,Diesel,Manuelle,1.5 Blue dCi 85ch Business,15 490 €
RENAULT,Captur,2019,Diesel,Automatique,1.5 Blue dCi 115ch Intens EDC,22 999 €
PEUGEOT,2008,2020,Diesel,Manuelle,1.5 BlueHDi 100ch S&S GT Line,27 499 €
